,sl,index,sentence,promptsForPython,promptsForJulius
2051,2052,si2052,The entire length of the street could be raked with rifle fire from this barn.,THE ENTIRE LENGTH OF THE STREET COULD BE RAKED WITH RIFLE FIRE FROM THIS BARN,*/sample2052 THE ENTIRE LENGTH OF THE STREET COULD BE RAKED WITH RIFLE FIRE FROM THIS BARN
2052,2053,si2053,He sized up the situation and shook his head.,HE SIZED UP THE SITUATION AND SHOOK HIS HEAD,*/sample2053 HE SIZED UP THE SITUATION AND SHOOK HIS HEAD
2053,2054,si2054,"He slipped outside, hugging the walls of buildings and dodging into doorways.",HE SLIPPED OUTSIDE HUGGING THE WALLS OF BUILDINGS AND DODGING INTO DOORWAYS,*/sample2054 HE SLIPPED OUTSIDE HUGGING THE WALLS OF BUILDINGS AND DODGING INTO DOORWAYS
2054,2055,si2055,Can't seem to locate landmarks in this snow.,CAN'T SEEM TO LOCATE LANDMARKS IN THIS SNOW,*/sample2055 CAN'T SEEM TO LOCATE LANDMARKS IN THIS SNOW
2055,2056,si2056,All that time rifle barrels were pointing unwaveringly at his head and body.,ALL THAT TIME RIFLE BARRELS WERE POINTING UNWAVERINGLY AT HIS HEAD AND BODY,*/sample2056 ALL THAT TIME RIFLE BARRELS WERE POINTING UNWAVERINGLY AT HIS HEAD AND BODY
2056,2057,si2057,"He strolled back to the door, whistling softly, hands still clasped behind him.",HE STROLLED BACK TO THE DOOR WHISTLING SOFTLY HANDS STILL CLASPED BEHIND HIM,*/sample2057 HE STROLLED BACK TO THE DOOR WHISTLING SOFTLY HANDS STILL CLASPED BEHIND HIM
2057,2058,si2058,Why ain't you playin' ball?,WHY AIN'T YOU PLAYIN' BALL,*/sample2058 WHY AIN'T YOU PLAYIN' BALL
2058,2059,si2059,They played crack the whip a few minutes without mishap.,THEY PLAYED CRACK THE WHIP A FEW MINUTES WITHOUT MISHAP,*/sample2059 THEY PLAYED CRACK THE WHIP A FEW MINUTES WITHOUT MISHAP
2059,2060,si2060,"Thank you, she said, dusting herself off.",THANK YOU SHE SAID DUSTING HERSELF OFF,*/sample2060 THANK YOU SHE SAID DUSTING HERSELF OFF
2060,2061,si2061,Maybe some other day.,MAYBE SOME OTHER DAY,*/sample2061 MAYBE SOME OTHER DAY
2061,2062,si2062,"Oh, shucks, the girl said.",OH SHUCKS THE GIRL SAID,*/sample2062 OH SHUCKS THE GIRL SAID
2062,2063,si2063,To his surprise his plan worked perfectly.,TO HIS SURPRISE HIS PLAN WORKED PERFECTLY,*/sample2063 TO HIS SURPRISE HIS PLAN WORKED PERFECTLY
2063,2064,si2064,He was gifted with animal magnetism and a potent allure for women of any race.,HE WAS GIFTED WITH ANIMAL MAGNETISM AND A POTENT ALLURE FOR WOMEN OF ANY RACE,*/sample2064 HE WAS GIFTED WITH ANIMAL MAGNETISM AND A POTENT ALLURE FOR WOMEN OF ANY RACE
2064,2065,si2065,"Lifting her skirts, she climbed in, never relinquishing her grip on his arm.",LIFTING HER SKIRTS SHE CLIMBED IN NEVER RELINQUISHING HER GRIP ON HIS ARM,*/sample2065 LIFTING HER SKIRTS SHE CLIMBED IN NEVER RELINQUISHING HER GRIP ON HIS ARM
2065,2066,si2066,He saw a pint-sized man with a graying spade beard and an unusually large head.,HE SAW A PINT-SIZED MAN WITH A GRAYING SPADE BEARD AND AN UNUSUALLY LARGE HEAD,*/sample2066 HE SAW A PINT-SIZED MAN WITH A GRAYING SPADE BEARD AND AN UNUSUALLY LARGE HEAD
2066,2067,si2067,"Yeah, seems so, don't it, the boy laughed, hugging her close.",YEAH SEEMS SO DON'T IT THE BOY LAUGHED HUGGING HER CLOSE,*/sample2067 YEAH SEEMS SO DON'T IT THE BOY LAUGHED HUGGING HER CLOSE
2067,2068,si2068,We don't know this guy.,WE DON'T KNOW THIS GUY,*/sample2068 WE DON'T KNOW THIS GUY
2068,2069,si2069,His head came up and he said it defiantly.,HIS HEAD CAME UP AND HE SAID IT DEFIANTLY,*/sample2069 HIS HEAD CAME UP AND HE SAID IT DEFIANTLY
2069,2070,si2070,"Come sit, he repeated, motioning to the piled hay bags, over the pig leavings.",COME SIT HE REPEATED MOTIONING TO THE PILED HAY BAGS OVER THE PIG LEAVINGS,*/sample2070 COME SIT HE REPEATED MOTIONING TO THE PILED HAY BAGS OVER THE PIG LEAVINGS
2070,2071,si2071,"Yeah, but what're we gonna eat?",YEAH BUT WHAT'RE WE GONNA EAT,*/sample2071 YEAH BUT WHAT'RE WE GONNA EAT
2071,2072,si2072,He reached once more into the carpet bag and brought up a package of wieners.,HE REACHED ONCE MORE INTO THE CARPET BAG AND BROUGHT UP A PACKAGE OF WIENERS,*/sample2072 HE REACHED ONCE MORE INTO THE CARPET BAG AND BROUGHT UP A PACKAGE OF WIENERS
2072,2073,si2073,"He ripped down the cellophane carefully, and laid three dogs on the tin foil.",HE RIPPED DOWN THE CELLOPHANE CAREFULLY AND LAID THREE DOGS ON THE TIN FOIL,*/sample2073 HE RIPPED DOWN THE CELLOPHANE CAREFULLY AND LAID THREE DOGS ON THE TIN FOIL
2073,2074,si2074,"How come you're riding the rods, kids like you?",HOW COME YOU'RE RIDING THE RODS KIDS LIKE YOU,*/sample2074 HOW COME YOU'RE RIDING THE RODS KIDS LIKE YOU
2074,2075,si2075,Now forget all this other.,NOW FORGET ALL THIS OTHER,*/sample2075 NOW FORGET ALL THIS OTHER
2075,2076,si2076,"You gonna give me a drink, fella?",YOU GONNA GIVE ME A DRINK FELLA,*/sample2076 YOU GONNA GIVE ME A DRINK FELLA
2076,2077,si2077,"Maybe you and me will, girlie, but these two ain't goin' nowhere.",MAYBE YOU AND ME WILL GIRLIE BUT THESE TWO AIN'T GOIN' NOWHERE,*/sample2077 MAYBE YOU AND ME WILL GIRLIE BUT THESE TWO AIN'T GOIN' NOWHERE
2077,2078,si2078,Or the bay of female dogs in heat.,OR THE BAY OF FEMALE DOGS IN HEAT,*/sample2078 OR THE BAY OF FEMALE DOGS IN HEAT
2078,2079,si2079,They had slapped their thighs.,THEY HAD SLAPPED THEIR THIGHS,*/sample2079 THEY HAD SLAPPED THEIR THIGHS
2079,2080,si2080,He would not carry a brief case.,HE WOULD NOT CARRY A BRIEF CASE,*/sample2080 HE WOULD NOT CARRY A BRIEF CASE
2080,2081,si2081,"All the while she sat there, her sinewy arms swirled before her chest.",ALL THE WHILE SHE SAT THERE HER SINEWY ARMS SWIRLED BEFORE HER CHEST,*/sample2081 ALL THE WHILE SHE SAT THERE HER SINEWY ARMS SWIRLED BEFORE HER CHEST
2081,2082,si2082,"You're boiling milk, ain't you?",YOU'RE BOILING MILK AIN'T YOU,*/sample2082 YOU'RE BOILING MILK AIN'T YOU
2082,2083,si2083,Above him slid the evasive shadow of a storm cloud.,ABOVE HIM SLID THE EVASIVE SHADOW OF A STORM CLOUD,*/sample2083 ABOVE HIM SLID THE EVASIVE SHADOW OF A STORM CLOUD
2083,2084,si2084,"What about a tea room, then?",WHAT ABOUT A TEA ROOM THEN,*/sample2084 WHAT ABOUT A TEA ROOM THEN
2084,2085,si2085,"She was so beautiful, so valiant, so pitiable.",SHE WAS SO BEAUTIFUL SO VALIANT SO PITIABLE,*/sample2085 SHE WAS SO BEAUTIFUL SO VALIANT SO PITIABLE
2085,2086,si2086,Absolution for his lie?,ABSOLUTION FOR HIS LIE,*/sample2086 ABSOLUTION FOR HIS LIE
2086,2087,si2087,Why lacerate the -- congregation?,WHY LACERATE THE  CONGREGATION,*/sample2087 WHY LACERATE THE  CONGREGATION
2087,2088,si2088,He'd had no idea how unhappy his sweet peach had been.,HE'D HAD NO IDEA HOW UNHAPPY HIS SWEET PEACH HAD BEEN,*/sample2088 HE'D HAD NO IDEA HOW UNHAPPY HIS SWEET PEACH HAD BEEN
2088,2089,si2089,If he ever did such a thing again she'd die of shame.,IF HE EVER DID SUCH A THING AGAIN SHE'D DIE OF SHAME,*/sample2089 IF HE EVER DID SUCH A THING AGAIN SHE'D DIE OF SHAME
2089,2090,si2090,He swung in through his own wide gateway.,HE SWUNG IN THROUGH HIS OWN WIDE GATEWAY,*/sample2090 HE SWUNG IN THROUGH HIS OWN WIDE GATEWAY
2090,2091,si2091,"No temptation, no virtue?",NO TEMPTATION NO VIRTUE,*/sample2091 NO TEMPTATION NO VIRTUE
2091,2092,si2092,Go change your shoes before you turn around.,GO CHANGE YOUR SHOES BEFORE YOU TURN AROUND,*/sample2092 GO CHANGE YOUR SHOES BEFORE YOU TURN AROUND
2092,2093,si2093,"He then offered his own estimate of the weather, which was unenthusiastic.",HE THEN OFFERED HIS OWN ESTIMATE OF THE WEATHER WHICH WAS UNENTHUSIASTIC,*/sample2093 HE THEN OFFERED HIS OWN ESTIMATE OF THE WEATHER WHICH WAS UNENTHUSIASTIC
2093,2094,si2094,He scowled at her flowers.,HE SCOWLED AT HER FLOWERS,*/sample2094 HE SCOWLED AT HER FLOWERS
2094,2095,si2095,"My dad did it, and he lived to a great age.",MY DAD DID IT AND HE LIVED TO A GREAT AGE,*/sample2095 MY DAD DID IT AND HE LIVED TO A GREAT AGE
2095,2096,si2096,Ran away on a black night with a lawful wedded man.,RAN AWAY ON A BLACK NIGHT WITH A LAWFUL WEDDED MAN,*/sample2096 RAN AWAY ON A BLACK NIGHT WITH A LAWFUL WEDDED MAN
2096,2097,si2097,"Left mine many a time, only she never knew it.",LEFT MINE MANY A TIME ONLY SHE NEVER KNEW IT,*/sample2097 LEFT MINE MANY A TIME ONLY SHE NEVER KNEW IT
2097,2098,si2098,He gave a short hard laugh and looked at her knowingly.,HE GAVE A SHORT HARD LAUGH AND LOOKED AT HER KNOWINGLY,*/sample2098 HE GAVE A SHORT HARD LAUGH AND LOOKED AT HER KNOWINGLY
2098,2099,si2099,But she suffered in her off-duty hours.,BUT SHE SUFFERED IN HER OFF-DUTY HOURS,*/sample2099 BUT SHE SUFFERED IN HER OFF-DUTY HOURS
2099,2100,si2100,"Then, after a while, she went to her mirror.",THEN AFTER A WHILE SHE WENT TO HER MIRROR,*/sample2100 THEN AFTER A WHILE SHE WENT TO HER MIRROR
2100,2101,si2101,Just why anybody should wish to start a riot the executive officer didn't know.,JUST WHY ANYBODY SHOULD WISH TO START A RIOT THE EXECUTIVE OFFICER DIDN'T KNOW,*/sample2101 JUST WHY ANYBODY SHOULD WISH TO START A RIOT THE EXECUTIVE OFFICER DIDN'T KNOW
2101,2102,si2102,"He may not rise to the heights, but he can get by, and eventually be retired.",HE MAY NOT RISE TO THE HEIGHTS BUT HE CAN GET BY AND EVENTUALLY BE RETIRED,*/sample2102 HE MAY NOT RISE TO THE HEIGHTS BUT HE CAN GET BY AND EVENTUALLY BE RETIRED
2102,2103,si2103,See you in about an hour.,SEE YOU IN ABOUT AN HOUR,*/sample2103 SEE YOU IN ABOUT AN HOUR
2103,2104,si2104,"Ahah, he thought, a lush divorcee at last.",AHAH HE THOUGHT A LUSH DIVORCEE AT LAST,*/sample2104 AHAH HE THOUGHT A LUSH DIVORCEE AT LAST
2104,2105,si2105,"It gave her a lewd, winking effect.",IT GAVE HER A LEWD WINKING EFFECT,*/sample2105 IT GAVE HER A LEWD WINKING EFFECT
2105,2106,si2106,Our key salesmen are in appliances and cosmetics.,OUR KEY SALESMEN ARE IN APPLIANCES AND COSMETICS,*/sample2106 OUR KEY SALESMEN ARE IN APPLIANCES AND COSMETICS
2106,2107,si2107,It sounded silly; why go on?,IT SOUNDED SILLY WHY GO ON,*/sample2107 IT SOUNDED SILLY WHY GO ON
2107,2108,si2108,Don't forget whiskey; it's such a big seller.,DON'T FORGET WHISKEY IT'S SUCH A BIG SELLER,*/sample2108 DON'T FORGET WHISKEY IT'S SUCH A BIG SELLER
2108,2109,si2109,"She looked crestfallen, as if he had somehow disappointed the whole human race.",SHE LOOKED CRESTFALLEN AS IF HE HAD SOMEHOW DISAPPOINTED THE WHOLE HUMAN RACE,*/sample2109 SHE LOOKED CRESTFALLEN AS IF HE HAD SOMEHOW DISAPPOINTED THE WHOLE HUMAN RACE
2109,2110,si2110,With any luck at all he could easily find a flowerpot.,WITH ANY LUCK AT ALL HE COULD EASILY FIND A FLOWERPOT,*/sample2110 WITH ANY LUCK AT ALL HE COULD EASILY FIND A FLOWERPOT
2110,2111,si2111,But roulette's not my game.,BUT ROULETTE'S NOT MY GAME,*/sample2111 BUT ROULETTE'S NOT MY GAME
2111,2112,si2112,He's a pinto and he photographs wonderfully.,HE'S A PINTO AND HE PHOTOGRAPHS WONDERFULLY,*/sample2112 HE'S A PINTO AND HE PHOTOGRAPHS WONDERFULLY
2112,2113,si2113,"How's your luck, honey?",HOW'S YOUR LUCK HONEY,*/sample2113 HOW'S YOUR LUCK HONEY
2113,2114,si2114,"Stake me, she said, and let me at those dice.",STAKE ME SHE SAID AND LET ME AT THOSE DICE,*/sample2114 STAKE ME SHE SAID AND LET ME AT THOSE DICE
2114,2115,si2115,Named after the ballet.,NAMED AFTER THE BALLET,*/sample2115 NAMED AFTER THE BALLET
2115,2116,si2116,Is there any word you would like to offer in your own defense?,IS THERE ANY WORD YOU WOULD LIKE TO OFFER IN YOUR OWN DEFENSE,*/sample2116 IS THERE ANY WORD YOU WOULD LIKE TO OFFER IN YOUR OWN DEFENSE
2116,2117,si2117,"He saw the dangers, not the glories of being identified as a mutineer.",HE SAW THE DANGERS NOT THE GLORIES OF BEING IDENTIFIED AS A MUTINEER,*/sample2117 HE SAW THE DANGERS NOT THE GLORIES OF BEING IDENTIFIED AS A MUTINEER
2117,2118,si2118,There is not space to hold or force to guard any increased number of prisoners.,THERE IS NOT SPACE TO HOLD OR FORCE TO GUARD ANY INCREASED NUMBER OF PRISONERS,*/sample2118 THERE IS NOT SPACE TO HOLD OR FORCE TO GUARD ANY INCREASED NUMBER OF PRISONERS
2118,2119,si2119,The instinct of discipline has been lost.,THE INSTINCT OF DISCIPLINE HAS BEEN LOST,*/sample2119 THE INSTINCT OF DISCIPLINE HAS BEEN LOST
2119,2120,si2120,"He paused, then added: ""Everything on a ship is a weapon.""",HE PAUSED THEN ADDED EVERYTHING ON A SHIP IS A WEAPON,*/sample2120 HE PAUSED THEN ADDED EVERYTHING ON A SHIP IS A WEAPON
2120,2121,si2121,Another field had given him fame enough to satisfy any egotist.,ANOTHER FIELD HAD GIVEN HIM FAME ENOUGH TO SATISFY ANY EGOTIST,*/sample2121 ANOTHER FIELD HAD GIVEN HIM FAME ENOUGH TO SATISFY ANY EGOTIST
2121,2122,si2122,Now the hope was gone.,NOW THE HOPE WAS GONE,*/sample2122 NOW THE HOPE WAS GONE
2122,2123,si2123,This tragic lad had forged his own shackles.,THIS TRAGIC LAD HAD FORGED HIS OWN SHACKLES,*/sample2123 THIS TRAGIC LAD HAD FORGED HIS OWN SHACKLES
2123,2124,si2124,The air smelled warmish and foul.,THE AIR SMELLED WARMISH AND FOUL,*/sample2124 THE AIR SMELLED WARMISH AND FOUL
2124,2125,si2125,"His black hat with its wide brim, high crown, and fur trim rode high.",HIS BLACK HAT WITH ITS WIDE BRIM HIGH CROWN AND FUR TRIM RODE HIGH,*/sample2125 HIS BLACK HAT WITH ITS WIDE BRIM HIGH CROWN AND FUR TRIM RODE HIGH
2125,2126,si2126,One white hand poised a stick above his desk.,ONE WHITE HAND POISED A STICK ABOVE HIS DESK,*/sample2126 ONE WHITE HAND POISED A STICK ABOVE HIS DESK
2126,2127,si2127,The guttural language from the ghetto stopped.,THE GUTTURAL LANGUAGE FROM THE GHETTO STOPPED,*/sample2127 THE GUTTURAL LANGUAGE FROM THE GHETTO STOPPED
2127,2128,si2128,Some of them ignored the texts and had apparently memorized the words long ago.,SOME OF THEM IGNORED THE TEXTS AND HAD APPARENTLY MEMORIZED THE WORDS LONG AGO,*/sample2128 SOME OF THEM IGNORED THE TEXTS AND HAD APPARENTLY MEMORIZED THE WORDS LONG AGO
2128,2129,si2129,His body pitched back and forth on the bench.,HIS BODY PITCHED BACK AND FORTH ON THE BENCH,*/sample2129 HIS BODY PITCHED BACK AND FORTH ON THE BENCH
2129,2130,si2130,Does this bother you?,DOES THIS BOTHER YOU,*/sample2130 DOES THIS BOTHER YOU
2130,2131,si2131,You had to be stupid or crazy or immortal.,YOU HAD TO BE STUPID OR CRAZY OR IMMORTAL,*/sample2131 YOU HAD TO BE STUPID OR CRAZY OR IMMORTAL
2131,2132,si2132,She took it with her wherever she went; she chose it.,SHE TOOK IT WITH HER WHEREVER SHE WENT SHE CHOSE IT,*/sample2132 SHE TOOK IT WITH HER WHEREVER SHE WENT SHE CHOSE IT
2132,2133,si2133,Here they did not need to be in ghettos.,HERE THEY DID NOT NEED TO BE IN GHETTOS,*/sample2133 HERE THEY DID NOT NEED TO BE IN GHETTOS
2133,2134,si2134,"All his family was dead, except for his son.",ALL HIS FAMILY WAS DEAD EXCEPT FOR HIS SON,*/sample2134 ALL HIS FAMILY WAS DEAD EXCEPT FOR HIS SON
2134,2135,si2135,You feel him every mile further away.,YOU FEEL HIM EVERY MILE FURTHER AWAY,*/sample2135 YOU FEEL HIM EVERY MILE FURTHER AWAY
2135,2136,si2136,Each of us had his own specialty besides.,EACH OF US HAD HIS OWN SPECIALTY BESIDES,*/sample2136 EACH OF US HAD HIS OWN SPECIALTY BESIDES
2136,2137,si2137,"The eye is all, inward or outward.",THE EYE IS ALL INWARD OR OUTWARD,*/sample2137 THE EYE IS ALL INWARD OR OUTWARD
2137,2138,si2138,Why should this suddenly assail her?,WHY SHOULD THIS SUDDENLY ASSAIL HER,*/sample2138 WHY SHOULD THIS SUDDENLY ASSAIL HER
2138,2139,si2139,Then the telephoning began.,THEN THE TELEPHONING BEGAN,*/sample2139 THEN THE TELEPHONING BEGAN
2139,2140,si2140,Was it a hysterical release from the long strain of vigilance of those weeks?,WAS IT A HYSTERICAL RELEASE FROM THE LONG STRAIN OF VIGILANCE OF THOSE WEEKS,*/sample2140 WAS IT A HYSTERICAL RELEASE FROM THE LONG STRAIN OF VIGILANCE OF THOSE WEEKS
2140,2141,si2141,It was nobody's fault.,IT WAS NOBODY'S FAULT,*/sample2141 IT WAS NOBODY'S FAULT
2141,2142,si2142,She overplayed her hand.,SHE OVERPLAYED HER HAND,*/sample2142 SHE OVERPLAYED HER HAND
2142,2143,si2143,Why put such a high value on being top dog?,WHY PUT SUCH A HIGH VALUE ON BEING TOP DOG,*/sample2143 WHY PUT SUCH A HIGH VALUE ON BEING TOP DOG
2143,2144,si2144,Why are you trying to worry me?,WHY ARE YOU TRYING TO WORRY ME,*/sample2144 WHY ARE YOU TRYING TO WORRY ME
2144,2145,si2145,Was she just naturally sloppy about everything but her physical appearance?,WAS SHE JUST NATURALLY SLOPPY ABOUT EVERYTHING BUT HER PHYSICAL APPEARANCE,*/sample2145 WAS SHE JUST NATURALLY SLOPPY ABOUT EVERYTHING BUT HER PHYSICAL APPEARANCE
2145,2146,si2146,"But it was a hopeful sign, he told himself.",BUT IT WAS A HOPEFUL SIGN HE TOLD HIMSELF,*/sample2146 BUT IT WAS A HOPEFUL SIGN HE TOLD HIMSELF
2146,2147,si2147,When they got home at midnight she was tired out.,WHEN THEY GOT HOME AT MIDNIGHT SHE WAS TIRED OUT,*/sample2147 WHEN THEY GOT HOME AT MIDNIGHT SHE WAS TIRED OUT
2147,2148,si2148,Look somewhere else.,LOOK SOMEWHERE ELSE,*/sample2148 LOOK SOMEWHERE ELSE
2148,2149,si2149,"Let's be fine superior people of great dignity, he said as if he were joking.",LET'S BE FINE SUPERIOR PEOPLE OF GREAT DIGNITY HE SAID AS IF HE WERE JOKING,*/sample2149 LET'S BE FINE SUPERIOR PEOPLE OF GREAT DIGNITY HE SAID AS IF HE WERE JOKING
2149,2150,si2150,"Then he fled, not waiting to see if she minded him or took notice of his cry.",THEN HE FLED NOT WAITING TO SEE IF SHE MINDED HIM OR TOOK NOTICE OF HIS CRY,*/sample2150 THEN HE FLED NOT WAITING TO SEE IF SHE MINDED HIM OR TOOK NOTICE OF HIS CRY
2150,2151,si2151,"He sank back, sighing, and was soon asleep again.",HE SANK BACK SIGHING AND WAS SOON ASLEEP AGAIN,*/sample2151 HE SANK BACK SIGHING AND WAS SOON ASLEEP AGAIN
2151,2152,si2152,His fingers fumbled across the bandages.,HIS FINGERS FUMBLED ACROSS THE BANDAGES,*/sample2152 HIS FINGERS FUMBLED ACROSS THE BANDAGES
2152,2153,si2153,He recognized his jacket and trousers.,HE RECOGNIZED HIS JACKET AND TROUSERS,*/sample2153 HE RECOGNIZED HIS JACKET AND TROUSERS
2153,2154,si2154,She must have put his clothes in the closet.,SHE MUST HAVE PUT HIS CLOTHES IN THE CLOSET,*/sample2154 SHE MUST HAVE PUT HIS CLOTHES IN THE CLOSET
2154,2155,si2155,He was kneeling to tie his shoelaces.,HE WAS KNEELING TO TIE HIS SHOELACES,*/sample2155 HE WAS KNEELING TO TIE HIS SHOELACES
2155,2156,si2156,His fingers felt absurdly thick and clumsy.,HIS FINGERS FELT ABSURDLY THICK AND CLUMSY,*/sample2156 HIS FINGERS FELT ABSURDLY THICK AND CLUMSY
2156,2157,si2157,Who would take over?,WHO WOULD TAKE OVER,*/sample2157 WHO WOULD TAKE OVER
2157,2158,si2158,For a moment he felt like a thief discovered.,FOR A MOMENT HE FELT LIKE A THIEF DISCOVERED,*/sample2158 FOR A MOMENT HE FELT LIKE A THIEF DISCOVERED
2158,2159,si2159,Her face seemed to float in an implausibly bright shaft of sunlight.,HER FACE SEEMED TO FLOAT IN AN IMPLAUSIBLY BRIGHT SHAFT OF SUNLIGHT,*/sample2159 HER FACE SEEMED TO FLOAT IN AN IMPLAUSIBLY BRIGHT SHAFT OF SUNLIGHT
2159,2160,si2160,He had never felt particularly close to her.,HE HAD NEVER FELT PARTICULARLY CLOSE TO HER,*/sample2160 HE HAD NEVER FELT PARTICULARLY CLOSE TO HER
2160,2161,si2161,Forget we ever knew what?,FORGET WE EVER KNEW WHAT,*/sample2161 FORGET WE EVER KNEW WHAT
2161,2162,si2162,His voice seemed thick and purposeless.,HIS VOICE SEEMED THICK AND PURPOSELESS,*/sample2162 HIS VOICE SEEMED THICK AND PURPOSELESS
2162,2163,si2163,Are you positive you'll be all right by yourself?,ARE YOU POSITIVE YOU'LL BE ALL RIGHT BY YOURSELF,*/sample2163 ARE YOU POSITIVE YOU'LL BE ALL RIGHT BY YOURSELF
2163,2164,si2164,Take care of yourself then.,TAKE CARE OF YOURSELF THEN,*/sample2164 TAKE CARE OF YOURSELF THEN
2164,2165,si2165,"No, really, right as rain.",NO REALLY RIGHT AS RAIN,*/sample2165 NO REALLY RIGHT AS RAIN
2165,2166,si2166,"Look, sweetheart, some fool was.",LOOK SWEETHEART SOME FOOL WAS,*/sample2166 LOOK SWEETHEART SOME FOOL WAS
2166,2167,si2167,A smile pulled at the lower strip of adhesive tape.,A SMILE PULLED AT THE LOWER STRIP OF ADHESIVE TAPE,*/sample2167 A SMILE PULLED AT THE LOWER STRIP OF ADHESIVE TAPE
2167,2168,si2168,They make us conformists look good.,THEY MAKE US CONFORMISTS LOOK GOOD,*/sample2168 THEY MAKE US CONFORMISTS LOOK GOOD
2168,2169,si2169,"Upstairs, busy feet, showering like raindrops, pattered around her room.",UPSTAIRS BUSY FEET SHOWERING LIKE RAINDROPS PATTERED AROUND HER ROOM,*/sample2169 UPSTAIRS BUSY FEET SHOWERING LIKE RAINDROPS PATTERED AROUND HER ROOM
2169,2170,si2170,"His dark brows, which had been lowered in anger, smoothed.",HIS DARK BROWS WHICH HAD BEEN LOWERED IN ANGER SMOOTHED,*/sample2170 HIS DARK BROWS WHICH HAD BEEN LOWERED IN ANGER SMOOTHED
2170,2171,si2171,How long would it be occupied?,HOW LONG WOULD IT BE OCCUPIED,*/sample2171 HOW LONG WOULD IT BE OCCUPIED
2171,2172,si2172,Strength began to zip up and down his chest.,STRENGTH BEGAN TO ZIP UP AND DOWN HIS CHEST,*/sample2172 STRENGTH BEGAN TO ZIP UP AND DOWN HIS CHEST
2172,2173,si2173,He wadded his sweat shirt into a ball and stripped down to his swimming trunks.,HE WADDED HIS SWEAT SHIRT INTO A BALL AND STRIPPED DOWN TO HIS SWIMMING TRUNKS,*/sample2173 HE WADDED HIS SWEAT SHIRT INTO A BALL AND STRIPPED DOWN TO HIS SWIMMING TRUNKS
2173,2174,si2174,"Aw, shut up, he said.",AW SHUT UP HE SAID,*/sample2174 AW SHUT UP HE SAID
2174,2175,si2175,"Shivering, he put on his clothes.",SHIVERING HE PUT ON HIS CLOTHES,*/sample2175 SHIVERING HE PUT ON HIS CLOTHES
2175,2176,si2176,"Watch it, big shot, a hoarse voice yelled back.",WATCH IT BIG SHOT A HOARSE VOICE YELLED BACK,*/sample2176 WATCH IT BIG SHOT A HOARSE VOICE YELLED BACK
2176,2177,si2177,She was holding on to his rock with one hand.,SHE WAS HOLDING ON TO HIS ROCK WITH ONE HAND,*/sample2177 SHE WAS HOLDING ON TO HIS ROCK WITH ONE HAND
